Via,Abbiategrasso,Unnamed: 0,S. Lanfranco
Via,Abruzzo,,S. Alessandro Sauli
Via,Acerbi,dal 12,SS. Crocifisso
Via,Acerbi,fino al 11,Sacra Famiglia
Strada,Acquanegra,,S. Maria in Betlem
Via,Acqui,,S. Alessandro Sauli
Via,Ada Negri,,S. Francesco
Via,Adda,,S. Lanfranco
Piazza,Addobbati,,S. Alessandro Sauli
Via,Adige,,S. Lanfranco
Via,Albani,,Sacra Famiglia
Via,Albertini,,S. Maria del Carmine
Via,Alboino,,S. Michele
Via,Albonesi,,S. Giorgio in Fossarmato
Via,Alciato,,S. Maria del Carmine
Via,Aldini,,S. Carlo Borromeo
Via,Alessandria,,S. Alessandro Sauli
Via,Allende,,S. Luigi Orione
Via,Alt,,SS. Crocifisso
Via,Alzaia,,Sacra Famiglia
Via,Amalfi,,S. Alessandro Sauli
Via,Amati,,S. Carlo Borromeo
Via,Ambrogio da Fossano,,SS. Salvatore
Via,Amendola,,S. Carlo Borromeo
Via,Amoretti,,SS. Crocifisso
Via,Andreoli,,SS. Crocifisso
Via,Angelini Cesare,,S. Alessandro Sauli
Via,Appennini,,S. Alessandro Sauli
Piazzetta,Arduino,,S. Teodoro
Viale,Argonne,,S. Francesco
Via,Ariani,,S. Francesco
Via,Ariberto,,Ss. Gervasio e Protasio
Via,Ariosto,,Sacra Famiglia
Via,Arnaboldi Gazzaniga,,S. Michele
Via,Aselli,,S. Maria di Caravaggio
Via,Assi San Paolo,,Spirito Santo
Via,Asti,,S. Alessandro Sauli
Cascina,Astolfa,,S. Carlo Borromeo
Piazzetta,Azzani,,S. Michele
Via,Azzario,,S. Teodoro
Via,Baldo degli Ubaldi,,S. Pietro Apostolo
Via,Baldrighi,,S. Carlo Borromeo
Via,Ballada,,S. Maria del Carmine
Via,Ballerini,,S. Teodoro
Via,Bandello,,Sacra Famiglia
Via,Bargiggia,,S. Maria di Caravaggio
Via,Bariola,,S. Lanfranco
Via,Baroni,,S. Maria Assunta in Mirabello
Via,Basilicata,,S. Alessandro Sauli
Via,Bassi,,S. Maria di Caravaggio
Via,Bassini,,S. Lanfranco
Viale,Battisti,,Ss. Gervasio e Protasio
Via,Beccaria,Unnamed: 0,Duomo
Via,Belbello,,SS. Crocifisso
Via,Belcredi,,SS. Salvatore
Cascina,Bellaria,,S. Pietro Apostolo
Strada,Bellaria,,S. Pietro Apostolo
Via,Belli,,S. Francesco
Via,Belloni,,Sacra Famiglia
Cascina,Belotti,,S. Carlo Borromeo
Via,Beltrami,,SS. Crocifisso
Strada,Belvedere,,S. Carlo Borromeo
Piazzetta,Berengario,,S. Michele
Via,Beretta,,S. Maria in Betlem
Via,Bergamo,,S. Alessandro Sauli
Via,Bernardino da Feltre,dal 2 al 3,Duomo
Via,Bernardino da Feltre,dal 4,S. Teodoro
Via,Bernardino de Conti,,Ss. Primo e Feliciano
Via,Bernardo da Pavia,,SS. Salvatore
Via,Bertani,pari dal 4 al 10,S. Maria delle Grazie
Via,Bertani,1,Spirito Santo
Via,Berzolari,,Spirito Santo
Via,Bianca Maria Visconti,,S. Maria in Betlem
Via,Bianchi Carlo,,S. Lanfranco
Via,Bianchi Tommaso,,Sacra Famiglia
Via,Bignami,"dispari dal 1 al 11, pari dal 2 al 6",S. Maria delle Grazie
Via,Bignami,"13,15",Spirito Santo
Via,Bixio,,Spirito Santo
Via,Bizzoni,,S. Teodoro
Viale,Bligny,,S. Francesco
Via,Bobbio,,S. Alessandro Sauli
Via,Boccaccio,,Sacra Famiglia
Via,Boezio,fino al 20,S. Maria del Carmine
Via,Boggeri,,Ss. Gervasio e Protasio
Via,Boggioni,,S. Maria Assunta in Mirabello
Via,Bologna,,S. Alessandro Sauli
Via,Bolzano,,S. Alessandro Sauli
Via,Bona di Savoia,,Sacra Famiglia
Via,Bonetta,,S. Teodoro
Via,Bonfante,,S. Pietro Apostolo
Via,Borda,,S. Alessandro Sauli
Via,Bordoncina,pari,SS. Crocifisso
Via,Bordoncina,dispari,Sacra Famiglia
Via,Bordoni,,S. Francesco
Piazza,Borgo Calvenzano,,S. Francesco
Via,Borgognoni,,SS. Crocifisso
Piazza,Borromeo,,Ss. Primo e Feliciano
Via,Borroni,,S. Maria di Caravaggio
Strada,Boscone,,S. Maria in Betlem
Cascina,Bosconocca,,S. Carlo Borromeo
Via,Bossi,,S. Michele
Via,Bossolaro,,Duomo
Piazza,Botta Adorno,fino al 6,S. Maria del Carmine
Piazza,Botta Adorno,10,Ss. Gervasio e Protasio
Vicolo,Botta Bartolomeo,,S. Maria del Carmine
Via,Botticella,,Duomo
Via,Bottini,Unnamed: 0,S. Pietro Apostolo
Via,Brallo,,S. Alessandro Sauli
Via,Bramante,,S. Maria in Betlem
Via,Brambilla,,Ss. Gervasio e Protasio
Via,Brenta,,S. Lanfranco
Via,Brescia,,S. Alessandro Sauli
Via,Breventano,,Sacra Famiglia
Via,Brianza,,S. Alessandro Sauli
Via,Brigata Pavia,,Spirito Santo
Via,Briosco,,S. Maria della Scala
Via,Broni,,S. Alessandro Sauli
Via,Brugnatelli,,S. Francesco
Via,Brusaioli,,Spirito Santo
Via,Brusoni,,S. Alessandro Sauli
Via,Buozzi,,S. Lanfranco
Strada,Busca,,S. Maria in Betlem
Via,Buzio,,SS. Crocifisso
Via,Cà Bella,,S. Maria in Betlem
Cascina,Cà dei Bai,,S. Luigi Orione
Strada,Cà dei Bay,,S. Luigi Orione
Cascina,Cà dei Levrieri,,S. Luigi Orione
Strada,Cà dei Ratti,,S. Luigi Orione
Strada,Cà della Terra,,S. Luigi Orione
Via,Cadore,,S. Alessandro Sauli
Piazzale,Caduti del Lavoro,,SS. Crocifisso
Via,Cagnoni,,S. Maria di Caravaggio
Corso,Cairoli,,S. Francesco
Piazzale,Cairoli,,S. Francesco
Via,Calabria,,S. Alessandro Sauli
Via,Calatafimi,,S. Maria del Carmine
Via,Calchi,,Ss. Primo e Feliciano
Via,Cambiagio Frassinelli,,S. Pietro Apostolo
Via,Campania,,S. Alessandro Sauli
Via,Campari,,Spirito Santo
Cascina,Campeggi,,S. Maria di Caravaggio
Strada,Campeggi,,S. Maria di Caravaggio
Via,Candio,,Spirito Santo
Via,Canevari,,S. Maria in Betlem
Via,Cantieri Benassi,,Sacra Famiglia
Via,Cantieri Spada,,S. Maria delle Grazie
Viale,Canton Ticino,,Sacra Famiglia
Via,Cantoni,,SS. Crocifisso
Via,Cappella,,S. Pietro Apostolo
Via,Capri,,S. Alessandro Sauli
Via,Capsoni,,S. Michele
Via,Carati,,Sacra Famiglia
Via,Carcano,,S. Maria delle Grazie
Via,Cardano,dispari,Duomo
Via,Cardano,pari,S. Teodoro
Corso,Carlo Alberto,,S. Francesco
Piazza,Carmine,,S. Maria del Carmine
Vicolo,Carona,,S. Teodoro
Via,Carpanelli,,S. Francesco
Strada,Cascina Canarazzo,Unnamed: 0,S. Maria in Betlem
Strada,Cascina Canarolo,,S. Maria in Betlem
Strada,Cascina Candiana,,S. Giorgio in Fossarmato
Strada,Cascina Livello,,SS. Crocifisso
Strada,Cascina Morona,,S. Carlo Borromeo
Strada,Cascina Spelta,,Spirito Santo
Via,Case Basse San Vittore,,S. Maria di Caravaggio
Strada,Case Nuove Canonici,,SS. Crocifisso
Via,Cassani,,S. Alessandro Sauli
Via,Casteggio,,S. Alessandro Sauli
Via,Castelli,,SS. Salvatore
Piazza,Castello,,S. Francesco
Piazza,Castiglioni,,Sacra Famiglia
Vicolo,Castiglioni,,S. Francesco
Via,Cattaneo,,S. Maria del Carmine
Via,Cattaneo,,Sacra Famiglia
Via,Cavagna Sangiuliani,,S. Teodoro
Piazza,Cavagneria,,Duomo
Via,Cavallini,,SS. Salvatore
Via,Cavallotti,,S. Michele
Corso,Cavour,dispari fino al 33,S. Maria del Carmine
Corso,Cavour,pari,Duomo
Corso,Cavour,59,Ss. Gervasio e Protasio
Via,Cazzamali,,S. Maria di Caravaggio
Via,Cerise,dispari,SS. Crocifisso
Via,Cerise,pari,S. Maria della Scala
Via,Cerveteri,,S. Alessandro Sauli
Via,Cervi Fratelli,,S. Lanfranco
Via,Ceva,,S. Alessandro Sauli
Via,Chiozzo,,S. Lanfranco
Via,Ciapessoni,dispari,S. Maria delle Grazie
Via,Ciapessoni,pari,Spirito Santo
Via,Cignoli,,Sacra Famiglia
Via,Cittadella,,S. Maria del Carmine
Via,Cividale,,S. Alessandro Sauli
Via,Colesino,,Sacra Famiglia
Cascina,Colombarone,,S. Lanfranco
Cascina,Colombi,,S. Carlo Borromeo
Via,Colombo,,SS. Salvatore
Via,Colorni,,S. Lanfranco
Via,Comi,,S. Michele
Via,Como,,S. Alessandro Sauli
Via,Coralli,,S. Lanfranco
Strada,Cornaiano,,S. Maria Assunta in Mirabello
Via,Cornienti,,SS. Salvatore
Via,Correnti,,S. Maria delle Grazie
Via,Corridoni,,Ss. Primo e Feliciano
Via,Corti,,SS. Crocifisso
Via,Cossa,"dispari fino al 11, pari fino al 20",Duomo
Via,Cossa,"dispari dal 15, pari dal 24",S. Teodoro
Strada,Costa Caroliana,,S. Carlo Borromeo
Via,Cozzi,,S. Maria di Caravaggio
Via,Cravos,,S. Michele
Viale,Cremona,"pari dal 84, dispari dal 185",S. Carlo Borromeo
Viale,Cremona,"pari fino al 82, dispari fino al 183",S. Pietro Apostolo
Via,Cremona Fratelli,,Ss. Gervasio e Protasio
Piazzale,Crosione,,S. Alessandro Sauli
Via,Cuneo,,S. Alessandro Sauli
Via,Cuzio,,Ss. Gervasio e Protasio
Via,Da Cozzo,,S. Maria in Betlem
Piazzale,D’Acquisto,,S. Maria della Scala
Viale,Damiano Chiesa,,Ss. Gervasio e Protasio
Piazza,Dante,,Ss. Gervasio e Protasio
Via,Darsena,,Ss. Primo e Feliciano
Via,De Barachis,,S. Maria delle Grazie
Via,De Canistris,,S. Francesco
Via,De Gasperi Alcide,,S. Luigi Orione
Via,De Motis,,SS. Crocifisso
Via,De Rossi Bernardino,,SS. Salvatore
Via,Decembrio,dispari,SS. Crocifisso
Via,Decembrio,pari,Sacra Famiglia
Via,Dei Mantegazza,,S. Maria Assunta in Mirabello
Via,Dei Mille,,S. Maria in Betlem
Via,Dei Molini,,S. Teodoro
Via,Del Carmine,,S. Maria del Carmine
Via,Del Colombarone,,S. Lanfranco
Via,Del Comune,,Duomo
Via,Del Giudice,,Sacra Famiglia
Piazza,Del Lino,,S. Michele
Vicolo,Del Senatore,,Duomo
Strada,Del Siccomario,,S. Maria in Betlem
Via,Del Teatro,,S. Francesco
Piazza,Del Tribunale,,S. Maria del Carmine
Piazza,Della Posta,,S. Francesco
Via,Della Rocchetta,,S. Michele
Via,Della Vela,,S. Carlo Borromeo
Piazza,Della Vittoria,,S. Maria del Carmine
Piazza,Della Vittoria,,Duomo
Via,Della Zecca,,Duomo
Via,Dell’Acqua,,S. Maria Assunta in Mirabello
Via,Depretis,,SS. Salvatore
Via,Digione,,S. Francesco
Via,Dolcebuono,,S. Carlo Borromeo
Via,Domenico da Catalogna,,S. Francesco
Via,Don Albertario,,S. Carlo Borromeo
Via,Don Gnocchi Carlo,,S. Luigi Orione
Via,Don Minzoni,,S. Lanfranco
Via,Don Vanzini,,S. Maria in Betlem
Via,Dondi,,Sacra Famiglia
Via,Donegani,pari dal 2 al 6,S. Maria delle Grazie
Via,Donegani,dispari,S. Pietro Apostolo
Via,Dora,,S. Lanfranco
Via,Dossi,,S. Maria delle Grazie
Vicolo,Dungallo,,Ss. Primo e Feliciano
Piazza,Duomo,,Duomo
Via,Elba,,S. Alessandro Sauli
Piazza,Emanuele Filiberto,Unnamed: 0,S. Francesco
Via,Emilia,,S. Alessandro Sauli
Via,Eredi Farina,,SS. Salvatore
Via,Errera,,S. Carlo Borromeo
Via,Eruli,,Duomo
Piazzale,Europa,,S. Maria delle Grazie
Viale,Europa,,S. Maria delle Grazie
Via,Faccioli,,SS. Salvatore
Via,Facioli,,SS. Crocifisso
Via,Faruffini,,Ss. Primo e Feliciano
Via,Fasolo,,S. Alessandro Sauli
Via,Fenoglio,,S. Lanfranco
Via,Ferrara,,S. Lanfranco
Via,Ferrari da Grado,,SS. Crocifisso
Via,Ferrata Adolfo,,S. Maria di Caravaggio
Via,Ferreri,,S. Maria del Carmine
Via,Ferrini,pari fino al 20,Sacra Famiglia
Via,Ferrini,"dispari, pari dal 20 al 86",Spirito Santo
Via,Filzi,,Ss. Gervasio e Protasio
Via,Fiorentini,,Spirito Santo
Via,Fioroni,,S. Pietro Apostolo
Via,Firenze,,S. Alessandro Sauli
Via,Flarer,,S. Maria di Caravaggio
Via,Folla di Sopra,,SS. Salvatore
Via,Folla di Sotto,,SS. Salvatore
Via,Folperti,,Sacra Famiglia
Via,Fondrini,,S. Carlo Borromeo
Via,Foppa,,SS. Salvatore
Via,Forlanini,,S. Maria di Caravaggio
,Fornetto,,S. Luigi Orione
Via,Foro Magno,,S. Francesco
Via,Foscolo,,Ss. Primo e Feliciano
Via,Fossarmato,,S. Giorgio in Fossarmato
Via,Francana,"pari dal 38, dispari dal 33",S. Carlo Borromeo
Via,Francana,"pari fino al 36, dispari fino al 31",S. Pietro Apostolo
Via,Franchi Maggi,,Ss. Primo e Feliciano
Via,Frank,"pari, dispari fino al 17",Duomo
Via,Frank,19,S. Teodoro
Via,Frisi,,S. Maria delle Grazie
Via,Friuli,,S. Alessandro Sauli
Strada,Fubina,,S. Carlo Borromeo
Via,Fusi,,SS. Crocifisso
Piazzale,Gaffurio,,Sacra Famiglia
Via,Gaffurio,,Sacra Famiglia
Via,Galliano,,S. Francesco
Via,Gambarana,,S. Alessandro Sauli
Via,Gambini,,S. Maria del Carmine
Piazza,Garavaglia,,S. Maria del Carmine
Piazza,Garavaglia,,Duomo
Piazza,Garavaglia,,Ss. Gervasio e Protasio
Strada,Gardona,,S. Lanfranco
Corso,Garibaldi,"pari fino al 22, dispari fino al 37",S. Michele
Corso,Garibaldi,"pari dal 24, dispari dal 39",Ss. Primo e Feliciano
Via,Gatti,Unnamed: 0,Duomo
Via,Genova,,S. Alessandro Sauli
Via,Gerla,,Spirito Santo
Piazzale,Ghinaglia,,S. Maria in Betlem
Piazza,Ghislieri,,S. Francesco
Via,Ghisoni,,Sacra Famiglia
Via,Giacomo Franchi,,SS. Salvatore
Via,Gianani Faustino,,S. Maria Assunta in Mirabello
Via,Giardini,,S. Pietro Apostolo
Via,Giasone del Maino,,SS. Salvatore
Via,Gilardelli,,S. Francesco
Via,Giovanni da Ferrera,,S. Michele
Cascina,Giulia,,S. Lanfranco
Via,Giulietti,,S. Maria in Betlem
Via,Gobetti,,SS. Salvatore
Via,Goldoni,,S. Francesco
Piazzale,Golgi,,S. Maria di Caravaggio
Viale,Golgi,,S. Maria di Caravaggio
Via,Gorini,,S. Maria delle Grazie
Viale,Gorizia,"dispari dal 47, pari dal 32",S. Francesco
